 sAddr: 212.193.209.129 , sec: 0, usec: 0, size: 87, flag: 0 
 sAddr: 195.208.252.1 , sec: 0, usec: 588, size: 180, flag: 0 
 sAddr: 212.193.209.129 , sec: 0, usec: 869, size: 96, flag: 0 
 sAddr: 195.208.252.1 , sec: 0, usec: 1403, size: 190, flag: 0 
 sAddr: 212.193.209.129 , sec: 0, usec: 1744, size: 59, flag: 0 
 sAddr: 212.193.209.129 , sec: 0, usec: 18671, size: 54, flag: 7 
 sAddr: 212.17.122.123 , sec: 1, usec: 147929, size: 60, flag: 0 
 sAddr: 212.17.122.123 , sec: 1, usec: 147937, size: 62, flag: 1 
 sAddr: 212.17.122.123 , sec: 1, usec: 147943, size: 60, flag: 0 
 sAddr: 212.193.209.129 , sec: 1, usec: 148025, size: 62, flag: 2 
 sAddr: 212.17.122.123 , sec: 1, usec: 531935, size: 60, flag: 0 
 sAddr: 212.193.208.222 , sec: 1, usec: 741480, size: 62, flag: 1 
 sAddr: 212.193.209.129 , sec: 1, usec: 741532, size: 62, flag: 2 
 sAddr: 212.193.208.222 , sec: 1, usec: 743180, size: 60, flag: 0 
 sAddr: 212.193.208.222 , sec: 1, usec: 746857, size: 60, flag: 7 
 sAddr: 212.193.209.129 , sec: 1, usec: 746965, size: 54, flag: 0 
 sAddr: 212.193.208.222 , sec: 1, usec: 750473, size: 62, flag: 1 
 sAddr: 212.193.209.129 , sec: 1, usec: 750534, size: 62, flag: 2 
 sAddr: 212.193.208.222 , sec: 1, usec: 752408, size: 60, flag: 0 
 sAddr: 212.193.208.222 , sec: 1, usec: 755646, size: 191, flag: 0 
 sAddr: 212.193.209.129 , sec: 1, usec: 756160, size: 88, flag: 0 
 sAddr: 195.208.252.1 , sec: 1, usec: 756737, size: 137, flag: 0 
 sAddr: 212.193.209.129 , sec: 1, usec: 757111, size: 59, flag: 0 
 sAddr: 212.193.209.129 , sec: 1, usec: 758936, size: 54, flag: 7 
 sAddr: 212.193.208.222 , sec: 1, usec: 761281, size: 60, flag: 0 
 sAddr: 212.193.209.129 , sec: 1, usec: 768800, size: 54, flag: 7 
 sAddr: 212.193.208.222 , sec: 1, usec: 773255, size: 60, flag: 7 
 sAddr: 212.193.209.129 , sec: 1, usec: 773374, size: 54, flag: 0 
 sAddr: 212.17.122.123 , sec: 2, usec: 118202, size: 226, flag: 0 
 sAddr: 212.193.209.129 , sec: 2, usec: 118756, size: 87, flag: 0 
 sAddr: 195.208.252.1 , sec: 2, usec: 119404, size: 180, flag: 0 
 sAddr: 212.193.209.129 , sec: 2, usec: 119679, size: 96, flag: 0 
 sAddr: 195.208.252.1 , sec: 2, usec: 120182, size: 190, flag: 0 
 sAddr: 212.193.209.129 , sec: 2, usec: 120518, size: 59, flag: 0 
 sAddr: 212.193.209.129 , sec: 2, usec: 138695, size: 54, flag: 7 
 sAddr: 212.17.122.123 , sec: 3, usec: 246109, size: 60, flag: 0 
 sAddr: 212.193.209.1 , sec: 5, usec: 6213, size: 78, flag: 0 
 sAddr: 212.193.209.67 , sec: 5, usec: 527223, size: 260, flag: 0 
 sAddr: 212.17.122.123 , sec: 6, usec: 472827, size: 62, flag: 1 
 sAddr: 212.193.209.129 , sec: 6, usec: 472913, size: 62, flag: 2 
 sAddr: 212.17.122.123 , sec: 6, usec: 832658, size: 60, flag: 0 
 sAddr: 212.17.122.123 , sec: 7, usec: 658210, size: 130, flag: 0 
 sAddr: 212.193.209.129 , sec: 7, usec: 658711, size: 87, flag: 0 
 sAddr: 195.208.252.1 , sec: 7, usec: 659389, size: 180, flag: 0 
 sAddr: 212.193.209.129 , sec: 7, usec: 659667, size: 96, flag: 0 
 sAddr: 195.208.252.1 , sec: 7, usec: 660243, size: 190, flag: 0 
 sAddr: 212.193.209.129 , sec: 7, usec: 660576, size: 59, flag: 0 
 sAddr: 212.193.209.129 , sec: 7, usec: 678783, size: 54, flag: 7 
 sAddr: 212.193.209.75 , sec: 8, usec: 670212, size: 106, flag: 0 
 sAddr: 212.193.209.129 , sec: 8, usec: 670710, size: 122, flag: 0 
 sAddr: 212.193.209.75 , sec: 8, usec: 671678, size: 106, flag: 0 
 sAddr: 212.193.209.129 , sec: 8, usec: 767945, size: 54, flag: 0 
 sAddr: 212.17.122.123 , sec: 8, usec: 819720, size: 60, flag: 0 
 sAddr: 212.193.209.75 , sec: 9, usec: 160976, size: 106, flag: 0 
 sAddr: 212.193.209.129 , sec: 9, usec: 161349, size: 122, flag: 0 
 sAddr: 212.193.209.75 , sec: 9, usec: 162476, size: 106, flag: 0 
 sAddr: 212.193.209.78 , sec: 9, usec: 185389, size: 216, flag: 0 
 sAddr: 212.193.209.75 , sec: 9, usec: 199520, size: 106, flag: 0 
 sAddr: 212.193.209.129 , sec: 9, usec: 199556, size: 54, flag: 0 
 sAddr: 212.193.209.129 , sec: 9, usec: 199896, size: 138, flag: 0 
 sAddr: 212.193.209.75 , sec: 9, usec: 201087, size: 106, flag: 0 
 sAddr: 212.193.209.78 , sec: 9, usec: 213332, size: 92, flag: 0 
 sAddr: 212.193.209.75 , sec: 9, usec: 238101, size: 106, flag: 0 
 sAddr: 212.193.209.129 , sec: 9, usec: 238137, size: 54, flag: 0 
 sAddr: 212.193.209.129 , sec: 9, usec: 238461, size: 138, flag: 0 
 sAddr: 212.193.209.75 , sec: 9, usec: 239803, size: 106, flag: 0 
 sAddr: 212.193.209.75 , sec: 9, usec: 277415, size: 106, flag: 0 
 sAddr: 212.193.209.129 , sec: 9, usec: 277446, size: 54, flag: 0 
 sAddr: 212.193.209.129 , sec: 9, usec: 277736, size: 138, flag: 0 
 sAddr: 212.193.209.75 , sec: 9, usec: 279000, size: 106, flag: 0 
 sAddr: 212.193.209.75 , sec: 9, usec: 315326, size: 106, flag: 0 
 sAddr: 212.193.209.129 , sec: 9, usec: 315359, size: 54, flag: 0 
 sAddr: 212.193.209.129 , sec: 9, usec: 315644, size: 138, flag: 0 
 sAddr: 212.193.209.75 , sec: 9, usec: 317028, size: 106, flag: 0 
 sAddr: 212.193.209.75 , sec: 9, usec: 353873, size: 106, flag: 0 
 sAddr: 212.193.209.129 , sec: 9, usec: 353905, size: 54, flag: 0 
 sAddr: 212.193.209.129 , sec: 9, usec: 354197, size: 138, flag: 0 
 sAddr: 212.193.209.75 , sec: 9, usec: 355456, size: 106, flag: 0 
 sAddr: 212.193.209.75 , sec: 9, usec: 392417, size: 106, flag: 0 
 sAddr: 212.193.209.129 , sec: 9, usec: 392445, size: 54, flag: 0 
 sAddr: 212.193.209.129 , sec: 9, usec: 392708, size: 138, flag: 0 
 sAddr: 212.193.209.75 , sec: 9, usec: 394090, size: 106, flag: 0 
 sAddr: 212.193.209.75 , sec: 9, usec: 431771, size: 106, flag: 0 
 sAddr: 212.193.209.129 , sec: 9, usec: 431798, size: 54, flag: 0 
 sAddr: 212.193.209.129 , sec: 9, usec: 432070, size: 138, flag: 0 
 sAddr: 212.193.209.75 , sec: 9, usec: 433284, size: 106, flag: 0 
 sAddr: 212.193.209.75 , sec: 9, usec: 469563, size: 106, flag: 0 
 sAddr: 212.193.209.129 , sec: 9, usec: 469599, size: 54, flag: 0 
 sAddr: 212.193.209.129 , sec: 9, usec: 469886, size: 138, flag: 0 
 sAddr: 212.193.209.75 , sec: 9, usec: 471162, size: 106, flag: 0 
 sAddr: 212.193.209.129 , sec: 9, usec: 567960, size: 54, flag: 0 
 sAddr: 212.193.209.78 , sec: 9, usec: 963247, size: 92, flag: 0 
 sAddr: 212.193.209.78 , sec: 10, usec: 713161, size: 92, flag: 0 
 sAddr: 212.193.209.75 , sec: 10, usec: 908427, size: 106, flag: 0 
 sAddr: 212.193.209.129 , sec: 10, usec: 908966, size: 138, flag: 0 
 sAddr: 212.193.209.75 , sec: 10, usec: 910806, size: 106, flag: 0 
 sAddr: 212.193.209.129 , sec: 11, usec: 7982, size: 54, flag: 0 
 sAddr: 212.17.122.123 , sec: 11, usec: 373388, size: 62, flag: 1 
 sAddr: 212.193.209.129 , sec: 11, usec: 373444, size: 62, flag: 2 
 sAddr: 212.193.209.78 , sec: 11, usec: 463948, size: 216, flag: 0 
 sAddr: 212.193.209.78 , sec: 11, usec: 485450, size: 92, flag: 0 
 sAddr: 212.17.122.123 , sec: 11, usec: 841022, size: 60, flag: 0 
 sAddr: 212.193.209.75 , sec: 12, usec: 75808, size: 106, flag: 0 
 sAddr: 212.193.209.129 , sec: 12, usec: 76241, size: 138, flag: 0 
 sAddr: 212.193.209.75 , sec: 12, usec: 77341, size: 106, flag: 0 
 sAddr: 212.193.209.129 , sec: 12, usec: 167996, size: 54, flag: 0 
 sAddr: 212.193.209.78 , sec: 12, usec: 235377, size: 92, flag: 0 
 sAddr: 212.17.122.123 , sec: 12, usec: 602952, size: 226, flag: 0 
 sAddr: 212.193.209.129 , sec: 12, usec: 603519, size: 87, flag: 0 
 sAddr: 195.208.252.1 , sec: 12, usec: 604058, size: 180, flag: 0 
 sAddr: 212.193.209.129 , sec: 12, usec: 604337, size: 96, flag: 0 
 sAddr: 195.208.252.1 , sec: 12, usec: 604763, size: 190, flag: 0 
 sAddr: 212.193.209.129 , sec: 12, usec: 605104, size: 59, flag: 0 
 sAddr: 212.193.209.129 , sec: 12, usec: 618861, size: 54, flag: 7 
 sAddr: 212.193.209.78 , sec: 12, usec: 985265, size: 92, flag: 0 
 sAddr: 212.193.209.75 , sec: 13, usec: 30932, size: 106, flag: 0 
 sAddr: 212.193.209.129 , sec: 13, usec: 31372, size: 154, flag: 0 
 sAddr: 212.193.209.75 , sec: 13, usec: 32357, size: 106, flag: 0 
 sAddr: 212.193.209.129 , sec: 13, usec: 128010, size: 54, flag: 0 
 sAddr: 212.17.122.123 , sec: 13, usec: 681545, size: 60, flag: 0 
 sAddr: 212.17.122.123 , sec: 13, usec: 688927, size: 60, flag: 0 
 sAddr: 212.17.122.123 , sec: 13, usec: 823896, size: 62, flag: 1 
 sAddr: 212.193.209.129 , sec: 13, usec: 823956, size: 62, flag: 2 
 sAddr: 212.17.122.123 , sec: 14, usec: 219613, size: 60, flag: 0 
 sAddr: 212.193.209.1 , sec: 15, usec: 4734, size: 78, flag: 0 
 sAddr: 212.17.122.123 , sec: 15, usec: 174503, size: 130, flag: 0 
 sAddr: 212.193.209.129 , sec: 15, usec: 175009, size: 87, flag: 0 
 sAddr: 195.208.252.1 , sec: 15, usec: 175467, size: 180, flag: 0 
 sAddr: 212.193.209.129 , sec: 15, usec: 175755, size: 96, flag: 0 
 sAddr: 195.208.252.1 , sec: 15, usec: 176196, size: 190, flag: 0 
 sAddr: 212.193.209.129 , sec: 15, usec: 176533, size: 59, flag: 0 
 sAddr: 212.193.209.129 , sec: 15, usec: 188875, size: 54, flag: 7 
 sAddr: 212.17.122.123 , sec: 16, usec: 394706, size: 62, flag: 1 
 sAddr: 212.17.122.123 , sec: 16, usec: 394716, size: 60, flag: 0 
 sAddr: 212.17.122.123 , sec: 16, usec: 394721, size: 60, flag: 0 
 sAddr: 212.193.209.129 , sec: 16, usec: 394810, size: 62, flag: 2 
 sAddr: 212.193.209.20 , sec: 16, usec: 544286, size: 92, flag: 0 
 sAddr: 212.17.122.123 , sec: 16, usec: 767999, size: 60, flag: 0 
 sAddr: 212.193.209.20 , sec: 17, usec: 294210, size: 92, flag: 0 
 sAddr: 212.17.122.123 , sec: 17, usec: 447093, size: 226, flag: 0 
 sAddr: 212.193.209.129 , sec: 17, usec: 447638, size: 87, flag: 0 
 sAddr: 195.208.252.1 , sec: 17, usec: 448159, size: 180, flag: 0 
 sAddr: 212.193.209.129 , sec: 17, usec: 448448, size: 96, flag: 0 
 sAddr: 195.208.252.1 , sec: 17, usec: 448995, size: 190, flag: 0 
 sAddr: 212.193.209.129 , sec: 17, usec: 449333, size: 59, flag: 0 
 sAddr: 212.193.209.129 , sec: 17, usec: 468914, size: 54, flag: 7 
 sAddr: 212.193.209.20 , sec: 18, usec: 44049, size: 92, flag: 0 
 sAddr: 212.17.122.123 , sec: 18, usec: 638674, size: 60, flag: 0 
 sAddr: 212.17.122.123 , sec: 18, usec: 890008, size: 62, flag: 1 
 sAddr: 212.193.209.129 , sec: 18, usec: 890064, size: 62, flag: 2 
 sAddr: 212.17.122.123 , sec: 19, usec: 245131, size: 60, flag: 0 
 sAddr: 212.17.122.123 , sec: 19, usec: 957375, size: 130, flag: 0 
 sAddr: 212.193.209.129 , sec: 19, usec: 957896, size: 87, flag: 0 
 sAddr: 195.208.252.1 , sec: 19, usec: 958350, size: 180, flag: 0 
 sAddr: 212.193.209.129 , sec: 19, usec: 958642, size: 96, flag: 0 
 sAddr: 195.208.252.1 , sec: 19, usec: 959202, size: 190, flag: 0 
 sAddr: 212.193.209.129 , sec: 19, usec: 959542, size: 59, flag: 0 
 sAddr: 212.193.209.129 , sec: 19, usec: 978954, size: 54, flag: 7 
 sAddr: 212.17.122.123 , sec: 21, usec: 77114, size: 60, flag: 0 
 sAddr: 212.17.122.123 , sec: 21, usec: 77532, size: 62, flag: 1 
 sAddr: 212.193.209.129 , sec: 21, usec: 77588, size: 62, flag: 2 
 sAddr: 212.17.122.123 , sec: 21, usec: 91792, size: 60, flag: 0 
 sAddr: 212.193.209.129 , sec: 21, usec: 200398, size: 83, flag: 0 
 sAddr: 195.208.252.1 , sec: 21, usec: 200907, size: 148, flag: 0 
 sAddr: 212.17.122.123 , sec: 21, usec: 487371, size: 60, flag: 0 
 sAddr: 212.193.209.129 , sec: 21, usec: 782388, size: 83, flag: 0 
 sAddr: 195.208.252.1 , sec: 21, usec: 782838, size: 148, flag: 0 
 sAddr: 205.188.248.210 , sec: 22, usec: 14393, size: 60, flag: 0 
 sAddr: 212.17.122.123 , sec: 22, usec: 201396, size: 226, flag: 0 
 sAddr: 212.193.209.129 , sec: 22, usec: 201890, size: 87, flag: 0 
 sAddr: 195.208.252.1 , sec: 22, usec: 202481, size: 180, flag: 0 
 sAddr: 212.193.209.129 , sec: 22, usec: 202759, size: 96, flag: 0 
 sAddr: 195.208.252.1 , sec: 22, usec: 203279, size: 190, flag: 0 
 sAddr: 212.193.209.129 , sec: 22, usec: 203612, size: 59, flag: 0 
 sAddr: 212.193.209.129 , sec: 22, usec: 219014, size: 54, flag: 7 
 sAddr: 212.193.209.129 , sec: 22, usec: 388262, size: 83, flag: 0 
 sAddr: 195.208.252.1 , sec: 22, usec: 388883, size: 148, flag: 0 
 sAddr: 212.193.209.129 , sec: 23, usec: 83281, size: 83, flag: 0 
 sAddr: 195.208.252.1 , sec: 23, usec: 83719, size: 148, flag: 0 
 sAddr: 212.17.122.123 , sec: 23, usec: 202265, size: 60, flag: 0 
 sAddr: 212.17.122.123 , sec: 23, usec: 202271, size: 60, flag: 0 
 sAddr: 212.17.122.123 , sec: 23, usec: 547708, size: 62, flag: 1 
 sAddr: 212.193.209.129 , sec: 23, usec: 547764, size: 62, flag: 2 
 sAddr: 212.17.122.123 , sec: 24, usec: 6520, size: 60, flag: 0 
 sAddr: 212.193.209.43 , sec: 24, usec: 359783, size: 243, flag: 0 
 sAddr: 64.12.164.55 , sec: 24, usec: 599031, size: 66, flag: 7 
 sAddr: 212.193.209.129 , sec: 24, usec: 599108, size: 66, flag: 0 
 sAddr: 212.193.209.129 , sec: 24, usec: 599205, size: 66, flag: 7 
 sAddr: 212.17.122.123 , sec: 24, usec: 729367, size: 130, flag: 0 
