winStart(sec): 0, winEnd(sec): 65, packCount: 710 , mostActC: 64, S-SA: 1, avSize: 235.992958, avTimeMostAct: 0.516160, F-S: 20 , susComb: 0 
winStart(sec): 10, winEnd(sec): 75, packCount: 630 , mostActC: 66, S-SA: 1, avSize: 258.838095, avTimeMostAct: 0.628142, F-S: 17 , susComb: 0 
winStart(sec): 20, winEnd(sec): 85, packCount: 686 , mostActC: 74, S-SA: 1, avSize: 300.896501, avTimeMostAct: 0.722257, F-S: 19 , susComb: 0 
winStart(sec): 30, winEnd(sec): 95, packCount: 609 , mostActC: 63, S-SA: 0, avSize: 301.561576, avTimeMostAct: 0.938621, F-S: 15 , susComb: 0 
winStart(sec): 40, winEnd(sec): 105, packCount: 440 , mostActC: 46, S-SA: -1, avSize: 283.840909, avTimeMostAct: 0.658009, F-S: 14 , susComb: 0 
winStart(sec): 50, winEnd(sec): 115, packCount: 495 , mostActC: 55, S-SA: 0, avSize: 265.109091, avTimeMostAct: 0.371156, F-S: 14 , susComb: 0 
winStart(sec): 60, winEnd(sec): 125, packCount: 484 , mostActC: 73, S-SA: 0, avSize: 277.371901, avTimeMostAct: 0.461754, F-S: 9 , susComb: 0 
winStart(sec): 70, winEnd(sec): 135, packCount: 499 , mostActC: 82, S-SA: 0, avSize: 275.054108, avTimeMostAct: 0.498166, F-S: 9 , susComb: 0 
winStart(sec): 80, winEnd(sec): 145, packCount: 582 , mostActC: 107, S-SA: 0, avSize: 291.819588, avTimeMostAct: 0.495697, F-S: 9 , susComb: 0 
winStart(sec): 90, winEnd(sec): 155, packCount: 545 , mostActC: 132, S-SA: 0, avSize: 291.728440, avTimeMostAct: 0.477242, F-S: 11 , susComb: 0 
winStart(sec): 100, winEnd(sec): 165, packCount: 562 , mostActC: 144, S-SA: 0, avSize: 283.548043, avTimeMostAct: 0.447636, F-S: 9 , susComb: 0 
winStart(sec): 110, winEnd(sec): 175, packCount: 489 , mostActC: 106, S-SA: 0, avSize: 307.623722, avTimeMostAct: 0.518920, F-S: 10 , susComb: 0 
winStart(sec): 120, winEnd(sec): 185, packCount: 547 , mostActC: 137, S-SA: 0, avSize: 277.380256, avTimeMostAct: 0.432499, F-S: 10 , susComb: 0 
winStart(sec): 130, winEnd(sec): 195, packCount: 551 , mostActC: 164, S-SA: 0, avSize: 247.161525, avTimeMostAct: 0.391690, F-S: 7 , susComb: 0 
winStart(sec): 140, winEnd(sec): 205, packCount: 526 , mostActC: 168, S-SA: 0, avSize: 235.769962, avTimeMostAct: 0.379762, F-S: 7 , susComb: 0 
winStart(sec): 150, winEnd(sec): 215, packCount: 468 , mostActC: 147, S-SA: 0, avSize: 218.572650, avTimeMostAct: 0.357586, F-S: 7 , susComb: 0 
winStart(sec): 160, winEnd(sec): 225, packCount: 450 , mostActC: 117, S-SA: 1, avSize: 280.351111, avTimeMostAct: 0.370787, F-S: 1 , susComb: 0 
winStart(sec): 170, winEnd(sec): 235, packCount: 511 , mostActC: 104, S-SA: 0, avSize: 249.998043, avTimeMostAct: 0.270716, F-S: 8 , susComb: 0 
winStart(sec): 180, winEnd(sec): 245, packCount: 587 , mostActC: 105, S-SA: 1, avSize: 242.301533, avTimeMostAct: 0.176687, F-S: 24 , susComb: 0 
winStart(sec): 190, winEnd(sec): 255, packCount: 851 , mostActC: 181, S-SA: 5, avSize: 237.119859, avTimeMostAct: 0.156911, F-S: 30 , susComb: 0 
winStart(sec): 200, winEnd(sec): 265, packCount: 1005 , mostActC: 214, S-SA: 6, avSize: 259.346269, avTimeMostAct: 0.179883, F-S: 40 , susComb: 0 
winStart(sec): 210, winEnd(sec): 275, packCount: 992 , mostActC: 214, S-SA: 6, avSize: 257.823589, avTimeMostAct: 0.179883, F-S: 40 , susComb: 0 
winStart(sec): 220, winEnd(sec): 285, packCount: 1047 , mostActC: 227, S-SA: 6, avSize: 248.209169, avTimeMostAct: 0.254633, F-S: 54 , susComb: 0 
winStart(sec): 230, winEnd(sec): 295, packCount: 877 , mostActC: 211, S-SA: 6, avSize: 217.929304, avTimeMostAct: 0.253779, F-S: 51 , susComb: 0 
winStart(sec): 240, winEnd(sec): 305, packCount: 781 , mostActC: 169, S-SA: 5, avSize: 231.432778, avTimeMostAct: 0.251365, F-S: 41 , susComb: 0 
winStart(sec): 250, winEnd(sec): 315, packCount: 500 , mostActC: 55, S-SA: 5, avSize: 257.480000, avTimeMostAct: 0.620869, F-S: 19 , susComb: 0 
winStart(sec): 260, winEnd(sec): 325, packCount: 197 , mostActC: 20, S-SA: 1, avSize: 212.482234, avTimeMostAct: 2.456356, F-S: 17 , susComb: 0 
winStart(sec): 270, winEnd(sec): 335, packCount: 172 , mostActC: 21, S-SA: 1, avSize: 189.866279, avTimeMostAct: 2.797986, F-S: 15 , susComb: 0 
winStart(sec): 280, winEnd(sec): 345, packCount: 160 , mostActC: 16, S-SA: 1, avSize: 217.743750, avTimeMostAct: 2.649441, F-S: 12 , susComb: 0 
winStart(sec): 290, winEnd(sec): 355, packCount: 121 , mostActC: 16, S-SA: 0, avSize: 275.280992, avTimeMostAct: 3.038838, F-S: 3 , susComb: 0 
winStart(sec): 300, winEnd(sec): 365, packCount: 157 , mostActC: 20, S-SA: 0, avSize: 245.847134, avTimeMostAct: 2.942644, F-S: 4 , susComb: 0 
winStart(sec): 310, winEnd(sec): 375, packCount: 159 , mostActC: 17, S-SA: 0, avSize: 243.981132, avTimeMostAct: 3.637346, F-S: 6 , susComb: 0 
winStart(sec): 320, winEnd(sec): 385, packCount: 194 , mostActC: 17, S-SA: 0, avSize: 219.061856, avTimeMostAct: 3.480146, F-S: 15 , susComb: 0 
winStart(sec): 330, winEnd(sec): 395, packCount: 192 , mostActC: 17, S-SA: 0, avSize: 220.109375, avTimeMostAct: 3.339012, F-S: 15 , susComb: 0 
winStart(sec): 340, winEnd(sec): 405, packCount: 188 , mostActC: 17, S-SA: 0, avSize: 172.191489, avTimeMostAct: 3.018675, F-S: 17 , susComb: 0 
winStart(sec): 350, winEnd(sec): 415, packCount: 201 , mostActC: 20, S-SA: 0, avSize: 173.542289, avTimeMostAct: 2.913462, F-S: 17 , susComb: 0 
winStart(sec): 360, winEnd(sec): 425, packCount: 180 , mostActC: 17, S-SA: 0, avSize: 179.188889, avTimeMostAct: 2.549058, F-S: 16 , susComb: 0 
winStart(sec): 370, winEnd(sec): 435, packCount: 183 , mostActC: 17, S-SA: 0, avSize: 181.551913, avTimeMostAct: 2.549058, F-S: 16 , susComb: 0 
winStart(sec): 380, winEnd(sec): 445, packCount: 153 , mostActC: 18, S-SA: 0, avSize: 188.326797, avTimeMostAct: 3.275444, F-S: 11 , susComb: 0 
winStart(sec): 390, winEnd(sec): 455, packCount: 230 , mostActC: 16, S-SA: 0, avSize: 282.100000, avTimeMostAct: 3.562217, F-S: 7 , susComb: 0 
winStart(sec): 400, winEnd(sec): 465, packCount: 227 , mostActC: 17, S-SA: 0, avSize: 312.088106, avTimeMostAct: 0.101479, F-S: 6 , susComb: 0 
winStart(sec): 410, winEnd(sec): 475, packCount: 225 , mostActC: 18, S-SA: 1, avSize: 322.315556, avTimeMostAct: 3.280996, F-S: 4 , susComb: 0 
winStart(sec): 420, winEnd(sec): 485, packCount: 213 , mostActC: 18, S-SA: 1, avSize: 329.375587, avTimeMostAct: 3.052578, F-S: 4 , susComb: 0 
winStart(sec): 430, winEnd(sec): 495, packCount: 214 , mostActC: 19, S-SA: 1, avSize: 335.514019, avTimeMostAct: 3.339373, F-S: 4 , susComb: 0 
winStart(sec): 440, winEnd(sec): 505, packCount: 208 , mostActC: 18, S-SA: 1, avSize: 340.254808, avTimeMostAct: 3.287101, F-S: 2 , susComb: 0 
winStart(sec): 450, winEnd(sec): 515, packCount: 196 , mostActC: 18, S-SA: 1, avSize: 350.219388, avTimeMostAct: 3.314815, F-S: 2 , susComb: 0 
winStart(sec): 460, winEnd(sec): 525, packCount: 118 , mostActC: 14, S-SA: 1, avSize: 217.364407, avTimeMostAct: 3.998704, F-S: 0 , susComb: 0 
winStart(sec): 470, winEnd(sec): 535, packCount: 117 , mostActC: 15, S-SA: 1, avSize: 208.051282, avTimeMostAct: 3.924762, F-S: 0 , susComb: 0 
winStart(sec): 480, winEnd(sec): 545, packCount: 140 , mostActC: 15, S-SA: 0, avSize: 189.828571, avTimeMostAct: 3.080792, F-S: 0 , susComb: 0 
winStart(sec): 490, winEnd(sec): 555, packCount: 157 , mostActC: 17, S-SA: 0, avSize: 195.611465, avTimeMostAct: 3.333079, F-S: 0 , susComb: 0 
winStart(sec): 500, winEnd(sec): 565, packCount: 156 , mostActC: 16, S-SA: 0, avSize: 195.391026, avTimeMostAct: 2.419349, F-S: 1 , susComb: 0 
winStart(sec): 510, winEnd(sec): 575, packCount: 310 , mostActC: 31, S-SA: 1, avSize: 304.625806, avTimeMostAct: 0.050992, F-S: 3 , susComb: 0 
