winStart(sec): 0, winEnd(sec): 65, packCount: 31792 , mostActC: 11254, S-SA: 1986, avSize: 1012.527240, avTimeMostAct: 0.005403, F-S: -2084 , susComb: 0 
winStart(sec): 10, winEnd(sec): 75, packCount: 29849 , mostActC: 9775, S-SA: 1986, avSize: 1009.655801, avTimeMostAct: 0.004583, F-S: -2051 , susComb: 0 
winStart(sec): 20, winEnd(sec): 85, packCount: 28361 , mostActC: 8122, S-SA: 1986, avSize: 1004.406791, avTimeMostAct: 0.007504, F-S: -2061 , susComb: 0 
winStart(sec): 30, winEnd(sec): 95, packCount: 25430 , mostActC: 5703, S-SA: 1974, avSize: 983.549312, avTimeMostAct: 0.008715, F-S: -2051 , susComb: 0 
winStart(sec): 40, winEnd(sec): 105, packCount: 20659 , mostActC: 4171, S-SA: 0, avSize: 1041.528535, avTimeMostAct: 0.000724, F-S: -66 , susComb: 0 
winStart(sec): 50, winEnd(sec): 115, packCount: 16537 , mostActC: 4172, S-SA: 0, avSize: 1033.409385, avTimeMostAct: 0.011516, F-S: -38 , susComb: 0 
winStart(sec): 60, winEnd(sec): 125, packCount: 13873 , mostActC: 5573, S-SA: 0, avSize: 1079.083255, avTimeMostAct: 0.011546, F-S: 24 , susComb: 0 
winStart(sec): 70, winEnd(sec): 135, packCount: 10213 , mostActC: 5156, S-SA: 0, avSize: 1048.265838, avTimeMostAct: 0.010149, F-S: 6 , susComb: 0 
winStart(sec): 80, winEnd(sec): 145, packCount: 14017 , mostActC: 6925, S-SA: 0, avSize: 1062.385246, avTimeMostAct: 0.008364, F-S: 4 , susComb: 0 
winStart(sec): 90, winEnd(sec): 155, packCount: 14431 , mostActC: 6924, S-SA: 0, avSize: 1061.542790, avTimeMostAct: 0.005101, F-S: 4 , susComb: 0 
winStart(sec): 100, winEnd(sec): 165, packCount: 16038 , mostActC: 6924, S-SA: 1, avSize: 1055.952425, avTimeMostAct: 0.005101, F-S: -3 , susComb: 0 
winStart(sec): 110, winEnd(sec): 175, packCount: 16017 , mostActC: 6924, S-SA: 0, avSize: 1058.976650, avTimeMostAct: 0.007011, F-S: -5 , susComb: 0 
winStart(sec): 120, winEnd(sec): 185, packCount: 21060 , mostActC: 9387, S-SA: 0, avSize: 1067.159117, avTimeMostAct: 0.006568, F-S: -4 , susComb: 0 
winStart(sec): 130, winEnd(sec): 195, packCount: 19527 , mostActC: 6873, S-SA: 0, avSize: 1045.379372, avTimeMostAct: 0.008966, F-S: -5 , susComb: 0 
winStart(sec): 140, winEnd(sec): 205, packCount: 18735 , mostActC: 7783, S-SA: 0, avSize: 1058.615639, avTimeMostAct: 0.007189, F-S: 6 , susComb: 0 
winStart(sec): 150, winEnd(sec): 215, packCount: 17269 , mostActC: 8191, S-SA: 0, avSize: 1067.120505, avTimeMostAct: 0.005787, F-S: 18 , susComb: 0 
winStart(sec): 160, winEnd(sec): 225, packCount: 16683 , mostActC: 9650, S-SA: 0, avSize: 1083.837559, avTimeMostAct: 0.006004, F-S: 18 , susComb: 0 
winStart(sec): 170, winEnd(sec): 235, packCount: 20702 , mostActC: 10088, S-SA: 0, avSize: 1041.366583, avTimeMostAct: 0.005186, F-S: 270 , susComb: 0 
winStart(sec): 180, winEnd(sec): 245, packCount: 20621 , mostActC: 8724, S-SA: 0, avSize: 1014.276029, avTimeMostAct: 0.006444, F-S: 283 , susComb: 0 
winStart(sec): 190, winEnd(sec): 255, packCount: 16206 , mostActC: 5405, S-SA: 0, avSize: 967.726089, avTimeMostAct: 0.007868, F-S: 399 , susComb: 0 
winStart(sec): 200, winEnd(sec): 265, packCount: 15249 , mostActC: 5067, S-SA: 0, avSize: 953.895337, avTimeMostAct: 0.010364, F-S: 408 , susComb: 0 
winStart(sec): 210, winEnd(sec): 275, packCount: 15412 , mostActC: 3984, S-SA: 0, avSize: 922.266610, avTimeMostAct: 0.014765, F-S: 445 , susComb: 0 
winStart(sec): 220, winEnd(sec): 285, packCount: 16589 , mostActC: 3630, S-SA: 1, avSize: 911.803906, avTimeMostAct: 0.015776, F-S: 415 , susComb: 0 
winStart(sec): 230, winEnd(sec): 295, packCount: 13023 , mostActC: 2169, S-SA: 0, avSize: 888.709130, avTimeMostAct: 0.023037, F-S: 210 , susComb: 0 
winStart(sec): 240, winEnd(sec): 305, packCount: 11214 , mostActC: 2148, S-SA: 0, avSize: 894.843321, avTimeMostAct: 0.020217, F-S: 168 , susComb: 0 
winStart(sec): 250, winEnd(sec): 315, packCount: 12455 , mostActC: 2979, S-SA: -1, avSize: 929.835488, avTimeMostAct: 0.018968, F-S: 187 , susComb: 0 
winStart(sec): 260, winEnd(sec): 325, packCount: 8864 , mostActC: 2150, S-SA: -1, avSize: 903.512184, avTimeMostAct: 0.027908, F-S: 157 , susComb: 0 
winStart(sec): 270, winEnd(sec): 335, packCount: 7117 , mostActC: 2148, S-SA: -1, avSize: 908.243923, avTimeMostAct: 0.022793, F-S: 178 , susComb: 0 
winStart(sec): 280, winEnd(sec): 345, packCount: 7040 , mostActC: 2174, S-SA: -1, avSize: 922.525000, avTimeMostAct: 0.027734, F-S: 97 , susComb: 0 
winStart(sec): 290, winEnd(sec): 355, packCount: 7028 , mostActC: 2174, S-SA: -1, avSize: 922.097467, avTimeMostAct: 0.022757, F-S: 99 , susComb: 0 
winStart(sec): 300, winEnd(sec): 365, packCount: 9559 , mostActC: 3509, S-SA: -2, avSize: 892.462287, avTimeMostAct: 0.016949, F-S: 111 , susComb: 0 
winStart(sec): 310, winEnd(sec): 375, packCount: 16825 , mostActC: 8514, S-SA: -1, avSize: 505.054086, avTimeMostAct: 0.001282, F-S: 118 , susComb: 0 
winStart(sec): 320, winEnd(sec): 385, packCount: 17430 , mostActC: 12293, S-SA: 0, avSize: 318.858003, avTimeMostAct: 0.001283, F-S: 147 , susComb: 0 
winStart(sec): 330, winEnd(sec): 395, packCount: 18990 , mostActC: 12293, S-SA: 1, avSize: 369.107846, avTimeMostAct: 0.001283, F-S: 110 , susComb: 0 
winStart(sec): 340, winEnd(sec): 405, packCount: 20795 , mostActC: 12293, S-SA: 0, avSize: 439.154604, avTimeMostAct: 0.001283, F-S: 110 , susComb: 0 
winStart(sec): 350, winEnd(sec): 415, packCount: 20722 , mostActC: 12293, S-SA: 0, avSize: 428.368208, avTimeMostAct: 0.001283, F-S: 120 , susComb: 0 
winStart(sec): 360, winEnd(sec): 425, packCount: 21458 , mostActC: 12293, S-SA: -1, avSize: 444.498695, avTimeMostAct: 0.001283, F-S: 196 , susComb: 0 
winStart(sec): 370, winEnd(sec): 435, packCount: 14917 , mostActC: 7684, S-SA: 1, avSize: 482.214118, avTimeMostAct: 0.001284, F-S: 112 , susComb: 0 
winStart(sec): 380, winEnd(sec): 445, packCount: 11037 , mostActC: 3532, S-SA: 1, avSize: 942.773761, avTimeMostAct: 0.017457, F-S: 149 , susComb: 0 
winStart(sec): 390, winEnd(sec): 455, packCount: 9146 , mostActC: 3168, S-SA: 1, avSize: 930.759239, avTimeMostAct: 0.018939, F-S: 191 , susComb: 0 
winStart(sec): 400, winEnd(sec): 465, packCount: 10099 , mostActC: 2163, S-SA: 0, avSize: 953.802060, avTimeMostAct: 0.027988, F-S: 122 , susComb: 0 
winStart(sec): 410, winEnd(sec): 475, packCount: 10156 , mostActC: 2163, S-SA: 0, avSize: 969.680583, avTimeMostAct: 0.022958, F-S: 146 , susComb: 0 
winStart(sec): 420, winEnd(sec): 485, packCount: 9754 , mostActC: 2163, S-SA: -2, avSize: 976.391737, avTimeMostAct: 0.022958, F-S: 142 , susComb: 0 
winStart(sec): 430, winEnd(sec): 495, packCount: 9568 , mostActC: 3139, S-SA: 0, avSize: 1022.012751, avTimeMostAct: 0.020159, F-S: 81 , susComb: 0 
winStart(sec): 440, winEnd(sec): 505, packCount: 8175 , mostActC: 3536, S-SA: 0, avSize: 1054.829358, avTimeMostAct: 0.016619, F-S: 128 , susComb: 0 
winStart(sec): 450, winEnd(sec): 515, packCount: 6213 , mostActC: 2177, S-SA: 0, avSize: 1057.494286, avTimeMostAct: 0.023018, F-S: 41 , susComb: 0 
